Título,Fecha,Contenido,Etiquetas,Número de Comentarios,Enlace
UNE estima afectación de 1 124 MW en el horario pico nocturno de este jueves,2022-12-01 09:01:00,"Central termoeléctrica Antonio Guiteras. Foto: Archivo/ Cubadebate. La Unión Eléctrica estima para la hora pico nocturna de este jueves una disponibilidad de 2 116 MW y una demanda máxima de 3 170 MW, con un déficit de 1 054 MW, por lo que si se mantienen los pronósticos, se prevé una afectación de 1 124 MW en este horario. La afectación máxima en el horario diurno será de 900 MW. Se encuentran fuera de servicio por avería las unidades 6 y 7 de la termoeléctrica Mariel, la Talla Piedra, la Guiteras, las unidades 4 y 5 de la Nuevitas, la 2 de la Felton y la unidad 6 de la Renté. Están en mantenimiento la unidad 3 de la termoeléctrica Santa Cruz y las 3 y 4 de la Renté. Las limitaciones en la generación térmica son de 211 MW. En la generación distribuida, no están disponibles 898 MW por avería y 722 MW por mantenimiento. Para el horario pico se estima la entrada de la unidad 4 de la termoeléctrica Renté, con 50 MW (en proceso de arranque), y la entrada de 136 MW en motores diésel. La máxima afectación en el horario de la noche del miércoles fue 1 137 MW a las 6:20 p.m., coincidiendo con la hora pico.","Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Termoeléctrica, Unión Eléctrica (UNE)",107,http://www.cubadebate.cu/noticias/2022/12/01/une-estima-afectacion-de-1-124-mw-en-el-horario-pico-nocturno-de-este-jueves/
Unión Eléctrica estima una afectación de 1135 MW para el horario pico nocturno,2022-11-30 14:25:00,"La máxima afectación en el horario de la noche fue 1101 MW a las 18:30 horas, coincidiendo con la hora pico. El servicio quedó restablecido a las 01:53 horas de la madrugada de hoy y a las 05:15 horas se comenzó a afectar nuevamente el servicio en el SEN por déficit de capacidad de generación. Se estima una afectación máxima de 750 MW por déficit de capacidad de generación en el horario diurno. Se encuentra fuera de servicio por avería las unidades 6 y 7 de la CTE Mariel, la CTE Talla Piedra, la CTE Guiteras, la unidad 4 de la CTE Nuevitas, la unidad 2 de la CTE Felton y la unidad 5 de la CTE Renté. Se encuentran en mantenimiento la unidad 3 de la CTE Santa Cruz y las unidades 3 y 4 de la CTE Renté. Se mantienen las limitaciones en la generación térmica (276 MW). En la generación distribuida, están indisponibles por avería 963 MW y en mantenimiento 701 MW. Para el horario pico se estima la entrada de 117 MW en motores diésel. Con este pronóstico, se estima para la hora pico una disponibilidad de 2085 MW y una demanda máxima de 3150 MW, para un déficit de 1065 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1135 MW en este horario. (Con información de la Unión Eléctrica)","Apagones, Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Termoeléctrica, Unión Eléctrica (UNE)",14,http://www.cubadebate.cu/noticias/2022/11/30/union-electrica-estima-una-afectacion-de-1135-mw-para-el-horario-pico-nocturno/
Unión Eléctrica pronostica una afectación de 1 179 MW en el pico nocturno,2022-11-29 08:28:00,"La máxima afectación en el horario de la noche fue 1048 MW a las 18:30 horas, coincidiendo con la hora pico. Se estima una afectación máxima de 850 MW por déficit de capacidad de generación en el horario diurno. Se encuentra fuera de servicio por avería las unidades 6 y 7 de la CTE Mariel, la CTE Guiteras, la unidad 4 de la CTE Nuevitas, la unidad 2 de la CTE Felton y la unidad 5 de la CTE Rente. Se encuentran en mantenimiento la unidad 3 de la CTE Santa Cruz, la unidad 5 de la CTE Nuevitas y las unidades 3 y 4 de la CTE Renté. Se mantienen las limitaciones en la generación térmica (258 MW). En la generación distribuida, están indisponibles por avería 953 MW y en mantenimiento 690 MW. Para el horario pico se estima la entrada de la unidad 5 de la CTE Nuevitas con 100 MW (en proceso de arranque) y la entrada de 109 MW en motores diésel. Con este pronóstico, se estima para la hora pico una disponibilidad de 2041 MW y una demanda máxima de 3150 MW, para un déficit de 1109 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1179 MW en este horario. (Con información de la Unión Eléctrica)","Apagón, Apagones, Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Unión Eléctrica (UNE)",35,http://www.cubadebate.cu/noticias/2022/11/29/union-electrica-pronostica-una-afectacion-de-1179-mw-en-el-pico-nocturno/
Unión Eléctrica estima afectación de 817 MW en el horario pico nocturno,2022-11-27 08:33:00,"De acuerdo con la Unión Eléctrica la máxima afectación en el horario de la noche fue 1089 MW a las 18:10 horas , coincidiendo con la hora pico. El servicio quedó restablecido a las 02:14 horas de la madrugada de hoy y a las 05:55 horas se comenzó a afectar nuevamente el servicio en el SEN por déficit de capacidad de generación. Se estima una afectación máxima de 570 MW por déficit de capacidad de generación en el horario diurno. Se encuentra fuera de servicio por avería las unidades 6 y 8 de la CTE Mariel y la unidad 2 de la CTE Santa Cruz. Se encuentran en mantenimiento la unidad 5 de la CTE Mariel, la unidad 3 de la CTE Santa Cruz, la unidad 5 de la CTE Nuevitas y las unidades 3 y 4 de la CTE Renté. Se mantienen las limitaciones en la generación térmica (348 MW). En la generación distribuida, están indisponibles por avería 945 MW y en mantenimiento 684 MW. Para el horario pico se estima la entrada de la unidad 8 de la CTE Mariel con 70 MW (en proceso de arranque), la entrada de la unidad 2 de la CTE Santa Cruz con 80MW, y la entrada de 123 MW en motores diésel. Con este pronóstico, se estima para la hora pico una disponibilidad de 2353 MW y una demanda máxima de 3100 MW, para un déficit de 747 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 817 MW en este horario. (Con información de la Unión Eléctrica de Cuba)","Apagón, Apagones, Cuba, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Unión Eléctrica (UNE)",19,http://www.cubadebate.cu/noticias/2022/11/27/union-electrica-estima-afectacion-de-817-mw-en-el-horario-pico-nocturno/
Unión Eléctrica estima afectación de 750 MW en horario diurno y 1 036 MW en el pico nocturno,2022-11-26 09:22:00,"La Unión Eléctrica informó que la máxima afectación en el horario de la noche fue 1211 MW a las 18:20 horas, coincidiendo con la hora pico. El servicio quedó restablecido a las 01:29 horas de la madrugada de hoy y a las 06:11 horas se comenzó a afectar nuevamente el servicio en el SEN por déficit de capacidad de generación. Se estima una afectación máxima de 750 MW por déficit de capacidad de generación en el horario diurno. Se encuentra fuera de servicio por avería la unidad 6 de la CTE Mariel y la unidad 2 de al CTE Santa Cruz. Se encuentran en mantenimiento la unidad 5 de la CTE Mariel, la unidad 3 de la CTE Santa Cruz, la unidad 5 de la CTE Nuevitas y las unidades 3 y 4 de la CTE Renté. Se mantienen las limitaciones en la generación térmica (382 MW). En la generación distribuida, están indisponibles por avería 943 MW y en mantenimiento 689 MW. Para el horario pico se estima la entrada de la unidad 5 de la CTE Mariel con 40 MW (en proceso de toma de carga) y la entrada de 130 MW en motores diésel. Con este pronóstico, se estima para la hora pico una disponibilidad de 2214 MW y una demanda máxima de 3180 MW, para un déficit de 966 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1036 MW en este horario.","Apagón, Apagones, Cuba, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Unión Eléctrica (UNE)",18,http://www.cubadebate.cu/noticias/2022/11/26/union-electrica-estima-afectacion-de-750-mw-en-horario-diurno-y-1-036-mw-en-el-pico-nocturno/
Unión Eléctrica estima afectación de 750 MW en horario diurno y 1 000 MW en el pico nocturno,2022-11-25 14:25:00,"La máxima afectación en el horario de la noche fue 1 107 MW a las 18:30 horas, coincidiendo con la hora pico. Se estima una afectación máxima de 750 MW por déficit de capacidad de generación en el horario diurno. Se encuentra fuera de servicio por avería la unidad 6 de la CTE Mariel, la unidad 2 de al CTE Santa Cruz y la unidad 6 de la CTE Nuevitas. Se encuentran en mantenimiento la unidad 5 de la CTE Mariel, la unidad 3 de la CTE Santa Cruz, la unidad 5 de la CTE Nuevitas y las unidades 3 y 4 de la CTE Renté. Se mantienen las limitaciones en la generación térmica (369 MW). En la generación distribuida, están indisponibles por avería 953 MW y en mantenimiento 695 MW. Para el horario pico se estima la entrada de la unidad 6 de la CTE Diez de Octubre con 100 MW (en proceso de arranque) y la entrada de 120 MW en motores diésel. Con este pronóstico, se estima para la hora pico una disponibilidad de 2 220 MW y una demanda máxima de 3 150 MW, para un déficit de 930 MW , por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1 000 MW en este horario.","Apagón, Apagones, Cuba, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Unión Eléctrica (UNE)",49,http://www.cubadebate.cu/noticias/2022/11/25/union-electrica-estima-afectacion-de-750-mw-en-horario-diurno-y-1-000-mw-en-el-pico-nocturno/
Unión Eléctrica estima una afectación de 981 MW para el horario pico nocturno,2022-11-24 08:39:00,"La máxima afectación en el horario de la noche fue 953 MW a las 18:20 horas, coincidiendo con la hora pico. El servicio quedó restablecido a las 02:10 horas de la madrugada de hoy y a las 05:02 horas se comenzó a afectar nuevamente el servicio en el Sistema Eléctrico Nacional por déficit de capacidad de generación. Se estima una afectación máxima de 700 MW por déficit de capacidad de generación en el horario diurno. Se encuentra fuera de servicio por avería la unidad 6 de la CTE Mariel y la unidad 6 de la CTE Nuevitas. Se encuentran en mantenimiento la unidad 5 de la CTE Mariel, la unidad 3 de la CTE Santa Cruz, la unidad 5 de la CTE Nuevitas y las unidades 3 y 4 de la CTE Renté. Se mantienen las limitaciones en la generación térmica (361 MW). En la generación distribuida, están indisponibles por avería 946 MW y en mantenimiento 687 MW. Para el horario pico se estima la entrada de 109 MW en motores diésel. Con este pronóstico, se estima para la hora pico una disponibilidad de 2239 MW y una demanda máxima de 3150 MW , para un déficit de 911 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 981 MW en este horario. (Con información de la Unión Eléctrica)","Apagones, Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Termoeléctrica, Unión Eléctrica (UNE)",42,http://www.cubadebate.cu/noticias/2022/11/24/union-electrica-estima-una-afectacion-de-981-mw-para-el-horario-pico-nocturno/
La Unión Eléctrica estima una afectación de 902 MW para el horario pico nocturno,2022-11-23 09:50:00,"​​ La Unión Eléctrica estima para la hora pico nocturna de este miércoles una disponibilidad de 2 318 MW y una demanda máxima de 3 150 MW, para un déficit de 832 MW, por lo que, de mantenerse las condiciones previstas, se pronostica una afectación de 902 MW en este horario. Para el horario diurno, mientras tanto, se estima una afectación máxima de 650 MW , por déficit de capacidad de generación. En la jornada de ayer, la máxima afectación en el horario de la noche fue 1 285 MW a las 18:20 horas, coincidiendo con el horario pico. El servicio quedó restablecido a las 02:15 horas de la madrugada de hoy y a las 04:57 horas se comenzó a afectar nuevamente. A las 7:00 horas de este miércoles, la disponibilidad del SEN era de 1 893 MW y la demanda 2 210 MW, con 298 MW afectados por déficit de capacidad de generación. Se encuentran fuera de servicio por avería las unidades 6 y 8 de la CTE Mariel y la unidad 6 de la CTE Nuevitas. En mantenimiento están la unidad 5 de la CTE Mariel, la unidad 3 de la CTE Santa Cruz, la unidad 5 de la CTE Nuevitas y las unidades 3 y 4 de la CTE Renté. Continúan las limitaciones en la generación térmica (294 MW). En la generación distribuida, están indisponibles por avería 941 MW y en mantenimiento 693 MW. Para el horario pico se estima la entrada de las unidades 8 de la CTE Mariel (en proceso de arranque) con 70 MW, la entrada de la unidad 6 de la CTE Diez de Octubre con 100 MW, y la entrada de 145 MW en motores diésel.","Apagones, Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Termoeléctrica, Unión Eléctrica (UNE)",20,http://www.cubadebate.cu/noticias/2022/11/23/la-union-electrica-estima-una-afectacion-de-902-mw-para-el-horario-pico-nocturno/
La Unión Eléctrica estima afectaciones de 700 MW en el horario diurno y de 928 MW en el pico nocturno,2022-11-21 09:17:00,"Central Termoeléctrica Antonio Guiteras, de Matanzas. Foto: Twitter/ @OSDE_UNE. La Unión Eléctrica informa que la máxima afectación en el horario de la noche de este domingo 20 de noviembre fue 1240 MW a las 18:20 horas, coincidiendo con la hora pico. La disponibilidad del SEN a las 07:00 horas de hoy es de 1800 MW y la demanda 2230 MW, con 478 MW afectados por déficit de capacidad en el SEN. Se estima una afectación máxima de 700 MW por déficit de capacidad de generación en el horario diurno. Se encuentra fuera de servicio por avería la unidad 6 de la CTE Mariel, la unidad de la CTE Guiteras y la unidad 6 de la CTE Nuevitas. Se encuentran en mantenimiento la unidad 5 de la CTE Mariel, la unidad 3 de la CTE Santa Cruz, la unidad 5 de la CTE Nuevitas y las unidades 3 y 4 de la CTE Renté. Se mantienen las limitaciones en la generación térmica (213 MW). En la generación distribuida, están indisponibles por avería 989 MW y en mantenimiento 684 MW. Para el horario pico se estima la entrada de la unidad de la CTE Guiteras con 240 MW (en proceso de arranque), la entrada de la planta pico Varadero con 17 MW, el completamiento de la unidad 6 de Energas Boca de Jaruco con 15 MW, y la entrada de 100 MW en motores diésel. Con este pronóstico, se estima para la hora pico una disponibilidad de 2292 MW y una demanda máxima de 3150 MW, para un déficit de 858 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 928 MW en este horario. La Central Termoeléctrica Antonio Guiteras, luego de concluir las labores de mantenimiento, se encuentra sincronizada al Sistema Eléctrico Nacional. En estos momentos está subiendo su carga. (Con información de la UNE) Compartir en Facebook Compartir en Twitter Compartir en WhatsApp Compartir en Telegram Noticias Economía Recibe Díaz-Canel al primer ministro de San Cristóbal y Nieves Terrance Drew 23 mayo 2025 | + | Cuba honra con duelo oficial al exmandatario vietnamita Tran Duc Luong 22 mayo 2025 | + | Ministro de salud cubano concluye intensa y productiva participación en la Asamblea Mundial de Salud 22 mayo 2025 | + | Tornado en Alquízar provoca daños en viviendas y servicios eléctricos 22 mayo 2025 | + | Las reglas de Rodo: La magia de lo diferente 22 mayo 2025 | 1 | ir aNoticias » Controlan derrame de residuos en antigua termoeléctrica José Martí 22 mayo 2025 | ¿Sabes cómo modificar la contraseña de pago en Enzona? 22 mayo 2025 | 11 | La Unión Eléctrica estima una afectación de 1 570 MW en el horario pico nocturno 22 mayo 2025 | 17 | Inauguran nuevo parque solar en Cienfuegos 21 mayo 2025 | 6 | Se recuperarán más de 500 MW en los próximos meses; el martes se inicia distribución de gas licuado en el país (+ Video e infografías) 21 mayo 2025 | 121 | ir aEconomía »","Apagón, Apagones, Cuba, Economía, Electricidad, Energía, Gobierno, Ministerio de Energía y Minas (MINEM), Unión Eléctrica (UNE)",83,http://www.cubadebate.cu/noticias/2022/11/21/la-union-electrica-estima-afectaciones-de-700-mw-en-el-horario-diurno-y-de-928-mw-en-el-pico-nocturno/
UNE prevé una afectación de 824 MW durante el pico nocturno de este domingo,2022-11-20 09:32:00,"Termoeléctrica Antonio Maceo. Foto: ACN. La Unión Eléctrica estima para la hora pico nocturna de este domingo una disponibilidad de 2 246 MW y una demanda máxima de 3 000 MW, con un déficit de 754 MW, por lo que si se mantienen las condiciones previstas se prevé una afectación de 824 MW en este horario. La disponibilidad del SEN a las 7:00 a.m. es de 1 998 MW, con una demanda de 2 023 MW. La UNE reporta que todo el SEN tiene servicio. Se pronostica una afectación máxima de 380 MW por déficit de capacidad de generación en el horario diurno. Están fuera de servicio por averías la unidad 6 de la termoeléctrica Mariel y las 4 y 5 de la Antonio Maceo (la 5 en proceso de arranque). Se encuentran en mantenimiento la unidad 5 de la termoeléctrica Mariel, la 3 de la Santa Cruz, la 5 de la Nuevitas y la 3 de la Renté. Las limitaciones en la generación térmica son de 332 MW. En la generación distribuida, no están disponibles 965.2 MW por averías y 679.2 MW por mantenimiento. Para el horario pico se estima la entrada de 100 MW en motores diésel; además de la entrada de la unidad 5 de la termoeléctrica Antonio Maceo, con 80 MW. La máxima afectación en el horario de la noche del sábado fue 1 097 MW a las 6:30 p.m., coincidiendo con la hora pico. El servicio quedó restablecido a las 00:38 a.m. del domingo. Se estima que se comenzará a afectar el servicio por déficit de capacidad de generación a partir de las 06:30 a.m.","Cuba, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Termoeléctrica, Unión Eléctrica (UNE)",32,http://www.cubadebate.cu/noticias/2022/11/20/une-preve-una-afectacion-de-824-mw-durante-el-pico-nocturno-de-este-domingo/
