Título,Fecha,Contenido,Etiquetas,Número de Comentarios,Enlace
La Unión Eléctrica pronostica una afectación de 1 699 MW para el horario pico nocturno,2025-04-26 11:59:00,"La Unión Eléctrica estima para el horario pico nocturno una disponibilidad de 1 771 MW y una demanda máxima de 3 400 MW, para un déficit de 1 629 MW, por lo que, de mantenerse las condiciones previstas, se pronostica una afectación de 1 699 MW en este horario. También en este momento del día se estima la entrada de la central de motores de fuel de Mariel, con 131 MW. A las 7:00 a.m., la disponibilidad del SEN era de 1 640 MW y la demanda 2 700 MW con 1 100 MW afectados por déficit de capacidad de generación. En el horario de la media se estima una afectación de 1 380 MW. Entre las principales incidencias, la entidad mencionó averías en las unidades 5 de la CTE Mariel, 2 de la CTE Felton y 3 de la CTE Antonio Maceo. Además, están en mantenimiento las unidades 2 de la CTE Santa Cruz, las 3 y 4 de la CTE Cienfuegos y la unidad 5 de la CTE Renté. Existen 355 MW fuera de servicio por limitaciones térmicas. Por otra parte, presentan problemas por falta de combustible 131 MW en la central fuel de Mariel y 105 centrales de generación distribuida, que dejan indisponibles 741 MW. En la jornada de ayer se afectó el servicio las 24 horas y se mantuvo afectado durante toda la madrugada de hoy. La máxima afectación en el día de ayer fue de 1 867 MW a las 20:10 horas, no coincidente con la hora de máxima demanda. La producción de energía de los 8 nuevos parques solares fotovoltaicos fue de 966 MWh.","Apagones, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Termoeléctrica, Unión Eléctrica (UNE)",6,http://www.cubadebate.cu/noticias/2025/04/26/la-union-electrica-pronostica-una-afectacion-de-1-800-mw-para-el-horario-pico-nocturno/
Unión Eléctrica pronostica déficit de 1800 MW para el pico nocturno de este viernes,2025-04-25 09:05:00,"Para el mediodía, se estima una afectación de 1250 MW. En el día de ayer se afectó el servicio las 24 horas y se mantuvo afectado durante toda la madrugada de hoy. La máxima afectación en el día de ayer fue de 1680 MW a las 19:20 horas , no coincidente con la hora de máxima demanda. La producción de energía de los 8 nuevos parques solares fotovoltaicos fue de 986 MWh. A las 7:00 a.m., la disponibilidad del SEN es de 1650 MW, mientras que la demanda alcanza los 2710 MW , lo que provoca una afectación de 1097 MW. Para el mediodía, se estima una afectación de 1250 MW. Principales incidencias Avería: Unidad 5 de la CTE Mariel y la Unidad 2 de la CTE Felton. Mantenimiento: Unidad 2 de la CTE Santa Cruz, Unidades 3 y 4 de la CTE Cienfuegos y Unidad 5 de la CTE Renté. Limitaciones térmicas: 399 MW fuera de servicio. Problemas por falta de combustible: 104 centrales de generación distribuida (725 MW). 50 MW en la central fuel de Mariel. Para el horario pico se estima una disponibilidad de 1650 MW y una demanda máxima de 3380 MW, para un déficit de 1730 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1800 MW en este horario.","Apagón, Apagones, Economía, Electricidad, Empresa Eléctrica, Generación Eléctrica, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Sociedad, Termoeléctrica, Unión Eléctrica (UNE)",30,http://www.cubadebate.cu/noticias/2025/04/25/union-electrica-pronostica-deficit-de-1800-mw-para-el-pico-nocturno-de-este-viernes/
UNE: Afectaciones por déficit superarán los 1 700 MW este jueves en el horario pico nocturno,2025-04-24 07:59:00,"Central Termoeléctrica de Cienfuegos Carlos Manuel de Céspedes. Foto: Abel Padrón Padilla/ Cubadebate. La Unión Eléctrica informa en su parte diario que en el día de ayer se afectó el servicio las 24 horas y se mantuvo afectado durante toda la madrugada de hoy. “La máxima afectación en el día de ayer fue de 1901 MW a las 20:10 horas, coincidente con la hora de máxima demanda, afectación superior a lo planificado por limitaciones de combustible en la patana de Melones”. Apunta además que la producción de energía de los 8 nuevos parques solares fotovoltaicos fue de 1064 MWh. La disponibilidad del SEN a las 07:00 horas es de 1660 MW y la demanda 2780 MW con 1150 MW afectados por déficit de capacidad, en el horario de la media se estima una afectación de 1280 MW. Se encuentran en avería la unidad 5 de la CTE Mariel, la unidad 5 de la CTE Nuevitas y la unidad 2 de la CTE Felton. Se encuentran en mantenimiento la unidad 2 de la CTE Santa Cruz, las unidades 3 y 4 de la CTE Cienfuegos y la unidad 5 de la CTE Renté. Las limitaciones en la generación térmica son de 321 MW. Se encuentran fuera de servicio por combustible 103 centrales de generación distribuida con 700 MW afectados por esta causa. Se considera para el pico la entrada de la unidad 5 de la CTE Nuevitas con 60 MW. Con este pronóstico, se estima una disponibilidad de 1720 MW y una demanda máxima de 3380 MW, para un déficit de 1660 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1730 MW en este horario. (Con información de la UNE-Minem)","Apagones, Combustibles, Economía, Electricidad, Gobierno, Ministerio de Energía y Minas (MINEM), Sistema Eléctrico Nacional (SEN), Unión Eléctrica (UNE)",39,http://www.cubadebate.cu/noticias/2025/04/24/une-afectaciones-por-deficit-superaran-los-1-700-mw-este-jueves-en-el-horario-pico-nocturno/
"Desde Cuba: Termoeléctrica de Cienfuegos, ¿Cómo ha sido el proceso de recuperación?",2025-04-22 16:02:00,"Desde el pasado mes de octubre, la termoeléctrica Carlos Manuel de Céspedes de Cienfuegos detuvo su accionar. Desde ese momento, se labora en su mantenimiento para incorporarla al SEN. Cubadebate recorrió la instalación a pocos días de su sincronización. En youtube Vea además Central termoeléctrica de Cienfuegos: Una inyección de energía desde el centro de Cuba","Oscar Figueredo Reinaldo, Apagón, Cienfuegos, Cuba, Economía, Electricidad, Fotografía, Gobierno, Ministerio de Energía y Minas (MINEM), Reparación, Termoeléctrica, Unión Eléctrica (UNE)",7,http://www.cubadebate.cu/especiales/2025/04/22/desde-cuba-termoelectrica-de-cienfuegos-como-ha-sido-el-proceso-de-recuperacion/
La UNE pronostica una afectación de 1716 MW para el horario pico de este miércoles,2025-04-23T10:31:00,"La Unión Eléctrica de Cuba informó que se estima una disponibilidad de 1704 MW y una demanda máxima de 3350 MW, para un déficit de 1646 MW , por lo que, de mantenerse las condiciones previstas, se pronostica una afectación de 1716 MW en el horario pico nocturno. En el día de ayer se afectó el servicio las 24 horas y se mantuvo afectado durante toda la madrugada de hoy. La máxima afectación en el día de ayer fue de 1662 MW a las 19:50 horas, no coincidente con la hora de máxima demanda. La producción de energía de los 8 nuevos parques solares fotovoltaicos fue de 1138 MWh. A las 7:00 a.m., la disponibilidad del SEN era de 1636 MW, mientras que la demanda alcanzaba los 2700 MW, para una afectación de 1090 MW. Para el mediodía, se estima una afectación de 1200 MW. Principales incidencias Avería: Unidad 5 de la CTE Mariel, Unidad 5 de la CTE Nuevitas y Unidades 1 y 2 de la CTE Felton. Mantenimiento: Unidad 2 de la CTE Santa Cruz, Unidades 3 y 4 de la CTE Cienfuegos y Unidad 5 de la CTE Renté. Limitaciones térmicas: 337 MW fuera de servicio. Problemas por falta de combustible: 96 centrales de generación distribuida (649 MW). 4 motores con 68 MW en la Patana de Melones. Adicionalmente, están indisponibles por falta de lubricantes 27 MW. Se considera para el pico la entrada de 4 motores en la patana de Melones con 68 MW.","['Apagones', 'Combustibles', 'Economía', 'Electricidad', 'Gobierno', 'Ministerio de Energía y Minas (MINEM)', 'Sistema Eléctrico Nacional (SEN)', 'Unión Eléctrica (UNE)']",18,http://www.cubadebate.cu/noticias/2025/04/23/la-une-pronostica-una-afectacion-de-1668-mw-para-el-horario-pico-de-este-miercoles/
La Unión Eléctrica pronostica una afectación de 1 668 MW para el horario pico nocturno,2025-04-22T10:02:00,"Foto: Archivo/ Cubadebate. La Unión Eléctrica Nacional estima una disponibilidad de 1752 MW y una demanda máxima de 3350 MW, para un déficit de 1598 MW, por lo que de mantenerse las condiciones previstas se pronostica para el horario nocturno una afectación de 1 668 MW . Se considera para el pico la entrada de la unidad 1 de Felton con 205 MW y la entrada de la unidad 3 de Rente con 67 MW . En el día de ayer se afectó el servicio las 24 horas y se mantuvo afectado durante toda la madrugada de hoy. La máxima afectación fue de 1736 MW a las 19:50 horas, no coincidente con la hora de máxima demanda. A las 7:00 a.m. de este martes 22 de abril, la disponibilidad del SEN era de 1480 MW, mientras que la demanda alcanza los 2600 MW, lo que provoca una afectación de 1147 MW. Para el mediodía, se estima una afectación de 1400 MW. Entre las principales incidencias previstas para esta jornada, están la indisponibilidad por averías de la Unidad 5 de la CTE Mariel, Unidad 5 de la CTE Nuevitas y Unidades 1 y 2 de la CTE Felton. Se encuentran en mantenimiento la Unidad 2 de la CTE Santa Cruz, Unidades 3 y 4 de la CTE Cienfuegos y Unidad 5 de la CTE Renté. Hay 232 MW fuera de servicio por limitaciones térmicas, y presentan problemas por falta de combustible 62 centrales de generación distribuida (474 MW). Adicionalmente, están indisponibles por falta de lubricantes 32 MW. La producción de energía de los 8 nuevos parques solares fotovoltaicos fue de 986 MWh. (Con información de la Unión Eléctrica Nacional)","['Apagones', 'Cuba', 'Economía', 'economía doméstica', 'Electricidad', 'Gobierno', 'Ministerio de Energía y Minas (MINEM)', 'Sistema Eléctrico Nacional (SEN)', 'Unión Eléctrica (UNE)']",19,http://www.cubadebate.cu/noticias/2025/04/22/la-union-electrica-pronostica-una-afectacion-de-1-668-mw-para-el-horario-pico-nocturno/
La Unión Eléctrica pronostica una afectación de 1 858 MW para el horario pico nocturno,2025-04-21T09:27:00,"La Unión Eléctrica estima una disponibilidad de 1 652 MW y una demanda máxima de 3 450 MW, para un déficit de 1 798 MW, por lo que, de mantenerse las condiciones previstas, pronostica una afectación de 1 858 MW para el horario pico nocturno. Para ese momento del día, la entidad considera la recuperación de 125 MW en motores de generación distribuida, que están fuera por déficit de combustible. A las 7:00 am, la disponibilidad del SEN era de 1 527 MW, mientras la demanda alcanzaba los 2 700 MW, lo cual provocó una afectación de 1 190 MW. Para el mediodía se estima una afectación de 1 350 MW. Entre las principales incidencias previstas para esta jornada, están la indisponibilidad por averías de la unidad 5 de la CTE Mariel, la unidad 5 de la CTE Nuevitas y las unidades 1 y 2 de la CTE Felton. Se encuentran en mantenimiento la unidad 2 de la CTE Santa Cruz, las unidades 3 y 4 de la CTE Cienfuegos y las unidades 5 y 6 de la CTE Renté. Hay 262 MW fuera de servicio por limitaciones térmicas, y presentan problemas por falta de combustible 65 centrales de generación distribuida (466 MW). Adicionalmente, están indisponibles por falta de lubricantes 78 MW. En la jornada de ayer se afectó el servicio las 24 horas y se mantuvo afectado durante toda la madrugada de hoy. La máxima afectación en el día fue de 1 767 MW a las 20:30 horas, coincidente con el momento de máxima demanda. La producción de energía de los ocho nuevos parques solares fotovoltaicos fue de 906 MWh.","['Apagones', 'Cuba', 'Economía', 'Electricidad', 'Empresa Eléctrica', 'Gobierno', 'Ministerio de Energía y Minas (MINEM)', 'Sistema Eléctrico Nacional (SEN)', 'Unión Eléctrica (UNE)']",29,http://www.cubadebate.cu/noticias/2025/04/21/la-union-electrica-pronostica-una-afectacion-de-1-858-mw-para-el-horario-pico-nocturno/
Unión Eléctrica pronostica 1766 MW de afectación en pico nocturno,2025-04-20T08:20:00,"Foto: Archivo/ Cubadebate. En el día de ayer se afectó el servicio las 24 horas y se mantuvo afectado durante toda la madrugada de hoy. La máxima afectación en el dia de ayer fue de 1678 MW a las 20:50 horas, no coincidente con la hora de máxima demanda, afectacion superior a lo planificado por salida imprevista de las unidades 5 de la CTE Nuevitas y 1 de la CTE Felton. La producción de energía de los 8 nuevos parques solares fotovoltaicos fue de 923.6 MWh. La disponibilidad del SEN a las 07:00 horas es de 1450 MW y la demanda 2500 MW con 928 MW afectados por déficit de capacidad, en el horario de la media se estima una afectación de 1350 MW. Se encuentran en avería la unidad 5 de la CTE Mariel, la unidad 5 de la CTE Nuevitas y las unidades 1 y 2 de la CTE Felton. Se encuentran en mantenimiento la unidad 2 de la CTE Santa Cruz, las unidades 3 y 4 de la CTE Cienfuegos y la unidad 5 de la CTE Renté. Las limitaciones en la generación térmica son de 265 MW. Se encuentran fuera de servicio por combustible 77 centrales de generación distribuida con 490 MW y 54 MW en la Patana de Regla, para un total de 544 MW afectados por esta causa. Adicionalmente, están indisponibles por falta de lubricantes 82 MW. Se considera la recuperación de 150 MW en motores de la generación distribuida que se encuentran fuera por combustible. Con este pronóstico, se estima una disponibilidad de 1654 MW y una demanda máxima de 3350 MW, para un déficit de 1696 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1766 MW en este horario. (Tomado de UNE-MINEM)","['Apagones', 'Economía', 'Electricidad', 'Gobierno', 'Ministerio de Energía y Minas (MINEM)', 'Sistema Eléctrico Nacional (SEN)', 'Termoeléctrica', 'Unión Eléctrica (UNE)']",25,http://www.cubadebate.cu/noticias/2025/04/20/union-electrica-pronostica-1766-mw-de-afectacion-en-pico-nocturno/
Unión Eléctrica estima afectación de 1 435 MW en horario pico este sábado,2025-04-19T09:13:00,"Foto: Tomada de ACN La Unión Eléctrica estima para el horario pico de este sábado una disponibilidad de 2 035 MW y una demanda máxima de 3 400 MW, para un déficit de 1 365 MW, por lo que de mantenerse las condiciones previstas se pronostica una afectación de 1 435 MW en este horario. Asimismo, se espera la entrada para el pico de nueve motores en el Emplazamiento de Fuel Moa con 135 MW y la recuperación de 300 MW de los que se encuentran fuera por combustible. A las 7:00 a.m. de hoy, la disponibilidad del SEN era de 1 600 MW, mientras que la demanda alcanzaba los 2 650 MW, lo que provoca una afectación de 980 MW. Para el mediodía, se estima una afectación de 1 250 MW. Principales incidencias Avería: Unidad 5 de la CTE Mariel y Unidad 2 de la CTE Felton. Mantenimiento: Unidad 2 de la CTE Santa Cruz, Unidades 3 y 4 de la CTE Cienfuegos y Unidades 5 y 6 de la CTE Renté. Limitaciones térmicas: 322 MW fuera de servicio. Problemas por falta de combustible: 69 centrales de generación distribuida (627 MW). 150 MW en los motores Fuel Oil de Moa. Adicionalmente, están indisponibles por falta de lubricantes 54 MW. (Con información de la UNE-MINEM) Compartir en Facebook Compartir en Twitter Compartir en WhatsApp Compartir en Telegram Noticias Economía Cubanos del sector de la Salud residentes en el exterior refuerzan vínculos con la nación caribeña 23 abril 2025 | + | Presidente cubano lamenta fallecimiento del papa Francisco, “incansable defensor de los humildes” 23 abril 2025 | + | Depositan en La Habana los restos del periodista Max Lesnik 23 abril 2025 | 2 | El Kremlin anuncia que están en marcha preparativos para una reunión entre Putin y Trump 23 abril 2025 | 1 | Boston, Cleveland y Golden State buscan ampliar su ventaja en playoffs de la NBA 23 abril 2025 | 2 | ir aNoticias » Suministro eléctrico lidera matriz inversionista de Cuba en 2025, según la ONEI (+ Infografía) 23 abril 2025 | 23 | La UNE pronostica una afectación de 1716 MW para el horario pico de este miércoles 23 abril 2025 | 18 | Bancarización en el campo cubano: Entre la urgencia digital y la tradición del efectivo (+ Video) 23 abril 2025 | 58 | Desde Cuba: Termoeléctrica de Cienfuegos, ¿Cómo ha sido el proceso de recuperación? 22 abril 2025 | 7 | La Unión Eléctrica pronostica una afectación de 1 668 MW para el horario pico nocturno 22 abril 2025 | 19 | ir aEconomía »","['Apagón', 'Apagones', 'Cuba', 'Economía', 'Electricidad', 'Gobierno', 'Ministerio de Energía y Minas (MINEM)', 'Unión Eléctrica (UNE)']",4,http://www.cubadebate.cu/noticias/2025/04/19/union-electrica-estima-afectacion-de-1-435-mw-en-horario-pico-este-sabado/
Unión Eléctrica estima afectación de 1 435 MW para pico nocturno de este viernes,2025-04-18T12:04:00,"Termoeléctrica 10 de Octubre, en el municipio de Nuevitas, en Camagüey, el 25 de febrero de 2023. Foto: ACN El Sistema Eléctrico Nacional enfrentó afectaciones continuas durante el día de ayer y la madrugada de hoy. El mayor déficit se registró a las 20:10 horas del jueves 17 de abril, alcanzando los 1 706 MW, en un momento que no coincidió con la hora habitual de máxima demanda. Durante este periodo, los ocho nuevos parques solares fotovoltaicos aportaron 1 068 MWh al Sistema Energético Nacional. A las 7:00 de la mañana de hoy viernes 18 de abril, el SEN presentó una disponibilidad de 1 600 MW frente a una demanda de 2 650 MW, lo que generó un déficit de 980 MW. Se estima que para el mediodía esta afectación aumentará a aproximadamente 1 250 MW. Las principales causas de estas limitaciones incluyen averías en la Unidad 5 de la CTE Mariel y la Unidad 2 de la CTE Felton, así como mantenimientos programados en varias unidades de otras centrales termoeléctricas. Actualmente existen importantes limitaciones operacionales: 322 MW fuera de servicio por restricciones térmicas, 627 MW no disponibles en 69 centrales de generación distribuida por falta de combustible, 150 MW indisponibles en los motores Fuel Oil de Moa y 54 MW adicionales fuera de servicio por carencia de lubricantes. Para el horario pico vespertino (entre 18:00 y 23:00 horas) se prevé la activación de nueve motores en el emplazamiento de Fuel Moa (135 MW) y la recuperación de 300 MW actualmente fuera de servicio por problemas de combustible. Con estas medidas, se proyecta una disponibilidad de 2 035 MW frente a una demanda máxima anticipada de 3 400 MW, lo que generaría un déficit de 1 365 MW y una afectación estimada de 1 435 MW. (Con información de la Unión Eléctrica) Vea además: Pepe, una turbina humana en el corazón de la Céspedes","['Apagones', 'Economía', 'Electricidad', 'Gobierno', 'Ministerio de Energía y Minas (MINEM)', 'Sistema Eléctrico Nacional (SEN)', 'Unión Eléctrica (UNE)']",6,http://www.cubadebate.cu/noticias/2025/04/18/union-electrica-estima-afectacion-de-1-435-mw-para-pico-nocturno-de-este-viernes/
